Div_x,Date,Time,HomeTeam,AwayTeam,oddsHome,oddsDrawn,oddsAway,GoalHome,GoalAway,Result,Div_y,B365H,B365D,B365A
SP1,01/12,19:45,Real Madrid,Valencia,66,22,12,2,0,0,SP1,1.44,4.75,7.0
I1,01/12,19:30,Sampdoria,Bologna,55,28,17,4,1,0,I1,2.0,3.3,4.0
,01/12,19:00,Monaco,Montpellier,54,28,18,1,2,2,F1,2.54,3.3,2.8
F1,01/12,19:00,Angers,Caen,50,29,21,1,1,1,F1,1.72,3.75,5.0
E0,01/12,17:30,Southampton,Man United,17,25,58,2,2,1,E0,4.33,3.6,1.95
I1,01/12,17:00,Fiorentina,Juventus,14,26,60,0,3,2,I1,6.0,3.75,1.61
SP1,01/12,15:15,Valladolid,Leganes,50,27,23,2,4,2,SP1,2.37,3.1,3.3
E0,01/12,15:00,Huddersfield,Brighton,36,29,35,1,2,2,E0,2.5,3.0,3.4
E0,01/12,15:00,Newcastle,West Ham,42,29,29,0,3,2,E0,2.5,3.3,3.1
I1,26/11,19:30,Cagliari,Torino,33,32,35,0,0,1,I1,2.9,3.2,2.54
I1,25/11,19:30,Genoa,Sampdoria,38,32,30,1,1,1,I1,2.6,3.3,2.75
E0,25/11,16:00,Wolves,Huddersfield,59,24,17,0,2,2,E0,1.5,4.33,8.0
SP1,25/11,15:15,Sevilla,Valladolid,64,22,14,1,0,0,SP1,1.4,4.75,8.0
F1,25/11,14:00,Montpellier,Rennes,45,30,25,2,2,1,F1,2.3,3.0,3.6
I1,25/11,14:00,Bologna,Fiorentina,25,31,44,0,0,1,I1,4.0,3.3,2.04
I1,25/11,14:00,Napoli,Chievo,87,10,3,0,0,1,I1,1.12,9.0,19.0
I1,25/11,14:00,Empoli,Atalanta,30,32,38,3,2,0,I1,5.25,4.0,1.66
E0,25/11,13:30,Bournemouth,Arsenal,26,28,46,1,2,2,E0,3.5,3.75,1.95
,24/11,19:00,Caen,Monaco,24,30,46,0,1,2,F1,3.25,3.25,2.3
F1,24/11,19:00,Nantes,Angers,49,30,21,1,1,1,F1,2.0,3.2,4.2
E0,24/11,17:30,Tottenham,Chelsea,46,28,26,3,1,0,E0,2.8,3.5,2.6
SP1,24/11,17:30,Huesca,Levante,36,29,35,2,2,1,SP1,2.25,3.4,3.25
E0,24/11,15:00,Watford,Liverpool,15,24,61,0,3,2,E0,6.5,4.33,1.55
E0,24/11,15:00,Fulham,Southampton,44,28,28,3,2,0,E0,2.62,3.5,2.8
E0,24/11,15:00,Man United,Crystal Palace,75,17,8,0,0,1,E0,1.4,5.25,8.0
I1,24/11,14:00,Udinese,Roma,15,26,59,1,0,0,I1,4.5,3.6,1.83
SP1,24/11,12:00,Eibar,Real Madrid,19,26,55,3,0,0,SP1,6.0,4.33,1.53
I1,11/11,17:00,Sassuolo,Lazio,29,32,39,1,1,1,I1,4.0,3.5,1.95
E0,11/11,16:30,Arsenal,Wolves,65,22,13,1,1,1,E0,1.66,4.2,5.25
F1,11/11,16:00,Rennes,Nantes,50,29,21,1,1,1,F1,2.14,3.3,3.6
E0,11/11,14:15,Chelsea,Everton,66,21,13,0,0,1,E0,1.4,5.25,8.5
F1,11/11,14:00,Bordeaux,Caen,59,26,15,0,0,1,F1,1.85,3.5,4.5
I1,11/11,14:00,Empoli,Udinese,49,29,22,2,1,0,I1,2.2,3.3,3.5
I1,11/11,14:00,Roma,Sampdoria,68,22,10,4,1,0,I1,1.44,4.5,7.0
I1,11/11,14:00,Chievo,Bologna,42,32,26,2,2,1,I1,2.9,3.2,2.6
E0,11/11,12:00,Liverpool,Fulham,79,15,6,2,0,0,E0,1.11,11.0,26.0
SP1,10/11,19:45,Girona,Leganes,56,25,19,0,0,1,SP1,2.04,3.2,3.75
I1,10/11,19:30,Genoa,Napoli,11,24,65,1,2,2,I1,7.0,4.5,1.44
F1,10/11,19:00,Angers,Montpellier,33,31,36,1,0,0,F1,3.0,3.1,2.6
E0,10/11,17:30,Crystal Palace,Tottenham,15,23,62,0,1,2,E0,4.5,3.75,1.85
F1,10/11,16:00,Guingamp,Lyon,22,29,49,2,4,2,F1,5.0,4.0,1.66
E0,10/11,15:00,Huddersfield,West Ham,31,29,40,1,1,1,E0,3.4,3.25,2.35
E0,10/11,15:00,Newcastle,Bournemouth,36,29,35,2,1,0,E0,2.9,3.4,2.6
E0,10/11,15:00,Southampton,Watford,41,29,30,1,1,1,E0,2.5,3.3,3.1
I1,10/11,14:00,Torino,Parma,57,27,16,1,2,2,I1,1.44,4.2,8.5
SP1,10/11,12:00,Valladolid,Eibar,44,29,27,0,0,1,SP1,2.3,3.3,3.25
I1,09/11,19:30,Frosinone,Fiorentina,24,31,45,1,1,1,I1,5.25,3.6,1.7
